Hatcheries ,Assay Type,Larval Species Tested,Water Type,Filtered/Unfiltered ,Treatment,Sample_ID,Replicate,Alive,Dead,% Mortality,Mortality,Control Average Mort,Control Average Mort  Percent,Percent Viability + Control Mortality,,Date of Assay,Note,,,,,,,,,,,,,,,,,,,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Tank Water 0.22um filter,Tank Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,CP8-R1 Acute Shed Water Unfiltered,1,95,5,5%,5,0,0%,95,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,CP8-R1 Acute Shed Water Unfiltered,2,42,2,5%,5,0,0%,95,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,CP8-R1 Acute Shed Water Unfiltered,3,41,3,7%,7,0,0%,93,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,CP8-R1 Acute Shed Water 0.22um filter,1,60,2,3%,3,0,0%,97,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,CP8-R1 Acute Shed Water 0.22um filter,2,54,1,2%,2,0,0%,98,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,CP8-R1 Acute Shed Water 0.22um filter,3,34,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RGX-R1 Acute Shed Water Unfiltered,1,27,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RGX-R1 Acute Shed Water Unfiltered,2,47,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RGX-R1 Acute Shed Water Unfiltered,3,37,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RGX-R1 Acute Shed Water 0.22um filter,1,99,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RGX-R1 Acute Shed Water 0.22um filter,2,74,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RGX-R1 Acute Shed Water 0.22um filter,3,56,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,RGX-R1 Acute Shed Water 10um filter,1,93,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,RGX-R1 Acute Shed Water 10um filter,2,54,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGX-R1,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,RGX-R1 Acute Shed Water 10um filter,3,53,1,2%,2,0,0%,98,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,S3W-R4 Acute Incoming Water 0.22um filter,1,88,4,4%,4,0,0%,96,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,S3W-R4 Acute Incoming Water 0.22um filter,2,67,1,1%,1,0,0%,99,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,S3W-R4 Acute Incoming Water 0.22um filter,3,98,3,3%,3,0,0%,97,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R4 Acute Tank Water Unfiltered,1,65,5,7%,7,0,0%,93,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R4 Acute Tank Water Unfiltered,2,60,2,3%,3,0,0%,97,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R4 Acute Tank Water Unfiltered,3,55,5,8%,8,0,0%,92,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R4 Acute Tank Water 10um filter,1,81,9,10%,10,0,0%,90,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R4 Acute Tank Water 10um filter,2,80,3,4%,4,0,0%,96,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R4 Acute Tank Water 10um filter,3,80,2,2%,2,0,0%,98,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R4 Acute Tank Water 0.22um filter,1,77,4,5%,5,0,0%,95,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R4 Acute Tank Water 0.22um filter,2,70,4,5%,5,0,0%,95,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R4 Acute Tank Water 0.22um filter,3,76,2,3%,3,0,0%,97,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R4 Acute Shed Water Unfiltered,1,84,3,3%,3,0,0%,97,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R4 Acute Shed Water Unfiltered,2,68,2,3%,3,0,0%,97,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R4 Acute Shed Water Unfiltered,3,63,5,7%,7,0,0%,93,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,S3W-R4 Acute Shed Water 10um filter,1,62,9,13%,13,0,0%,87,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,S3W-R4 Acute Shed Water 10um filter,2,55,4,7%,7,0,0%,93,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,S3W-R4 Acute Shed Water 10um filter,3,57,7,11%,11,0,0%,89,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,S3W-R4 Acute Shed Water 0.22um filter,1,74,3,4%,4,0,0%,96,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,S3W-R4 Acute Shed Water 0.22um filter,2,78,3,4%,4,0,0%,96,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R4,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,S3W-R4 Acute Shed Water 0.22um filter,3,92,4,4%,4,0,0%,96,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,S3W-R5 Acute Incoming Water Unfiltered,1,64,5,7%,7,0,0%,93,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,S3W-R5 Acute Incoming Water Unfiltered,2,50,1,2%,2,0,0%,98,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,S3W-R5 Acute Incoming Water Unfiltered,3,48,4,8%,8,0,0%,92,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,S3W-R5 Acute Incoming Water 10um filter,1,58,16,22%,22,0,0%,78,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,S3W-R5 Acute Incoming Water 10um filter,2,51,10,16%,16,0,0%,84,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,S3W-R5 Acute Incoming Water 10um filter,3,82,5,6%,6,0,0%,94,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,S3W-R5 Acute Incoming Water 0.22um filter,1,75,6,7%,7,0,0%,93,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,S3W-R5 Acute Incoming Water 0.22um filter,2,62,13,17%,17,0,0%,83,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,S3W-R5 Acute Incoming Water 0.22um filter,3,79,7,8%,8,0,0%,92,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R5 Acute Tank Water Unfiltered,1,51,7,12%,12,0,0%,88,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R5 Acute Tank Water Unfiltered,2,67,6,8%,8,0,0%,92,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R5 Acute Tank Water Unfiltered,3,68,4,6%,6,0,0%,94,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R5 Acute Tank Water 10um filter,1,45,4,8%,8,0,0%,92,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R5 Acute Tank Water 10um filter,2,62,5,7%,7,0,0%,93,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R5 Acute Tank Water 10um filter,3,73,7,9%,9,0,0%,91,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R5 Acute Tank Water 0.22um filter,1,58,3,5%,5,0,0%,95,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R5 Acute Tank Water 0.22um filter,2,63,1,2%,2,0,0%,98,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R5 Acute Tank Water 0.22um filter,3,80,4,5%,5,0,0%,95,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R5 Acute Shed Water Unfiltered,1,100,4,4%,4,0,0%,96,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R5 Acute Shed Water Unfiltered,2,192,3,2%,2,0,0%,98,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,S3W-R5 Acute Shed Water Unfiltered,3,116,11,9%,9,0,0%,91,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,S3W-R5 Acute Shed Water 10um filter,1,80,12,13%,13,0,0%,87,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,S3W-R5 Acute Shed Water 10um filter,2,101,2,2%,2,0,0%,98,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,S3W-R5 Acute Shed Water 10um filter,3,63,7,10%,10,0,0%,90,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,S3W-R5 Acute Shed Water 0.22um filter,1,77,1,1%,1,0,0%,99,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,S3W-R5 Acute Shed Water 0.22um filter,2,117,6,5%,5,0,0%,95,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R5,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,S3W-R5 Acute Shed Water 0.22um filter,3,124,6,5%,5,0,0%,95,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R3 Acute Tank Water Unfiltered,1,114,5,4%,4,0,0%,96,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R3 Acute Tank Water Unfiltered,2,110,5,4%,4,0,0%,96,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R3 Acute Tank Water Unfiltered,3,123,3,2%,2,0,0%,98,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R3 Acute Tank Water 0.22um filter,1,145,7,5%,5,0,0%,95,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R3 Acute Tank Water 0.22um filter,2,164,3,2%,2,0,0%,98,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R3 Acute Tank Water 0.22um filter,3,100,0,0%,0,0,0%,100,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R2 Acute Tank Water Unfiltered,1,70,9,11%,11,13,13%,102,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R2 Acute Tank Water Unfiltered,2,92,19,17%,17,13,13%,96,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R2 Acute Tank Water Unfiltered,3,102,11,10%,10,13,13%,103,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,V7H-R2 Acute Tank Water 10um filter,1,103,2,2%,2,13,13%,111,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,V7H-R2 Acute Tank Water 10um filter,2,74,17,19%,19,13,13%,94,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,V7H-R2 Acute Tank Water 10um filter,3,97,11,10%,10,13,13%,103,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R2 Acute Tank Water 0.22um filter,1,135,14,9%,9,13,13%,104,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R2 Acute Tank Water 0.22um filter,2,164,27,14%,14,13,13%,99,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R2 Acute Tank Water 0.22um filter,3,85,4,4%,4,13,13%,109,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,V7H-R2 Acute Tank Water 100 kDa filter,1,97,24,20%,20,13,13%,93,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,V7H-R2 Acute Tank Water 100 kDa filter,2,90,12,12%,12,13,13%,101,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,V7H-R2 Acute Tank Water 100 kDa filter,3,84,3,3%,3,13,13%,110,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,2UJ-R1 Acute Tank Water Unfiltered,1,103,20,16%,16,13,13%,97,,2025-12-12,"Ciliates! all were alive, did not do complete count just wrote 100 and 0 to record no death occured ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,2UJ-R1 Acute Tank Water Unfiltered,2,95,27,22%,22,13,13%,91,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,2UJ-R1 Acute Tank Water Unfiltered,3,124,38,23%,23,13,13%,90,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,2UJ-R1 Acute Tank Water 10um filter,1,128,45,26%,26,13,13%,87,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,2UJ-R1 Acute Tank Water 10um filter,2,117,22,16%,16,13,13%,97,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,Tank Water 10um filter,2UJ-R1 Acute Tank Water 10um filter,3,143,42,23%,23,13,13%,90,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,2UJ-R1 Acute Tank Water 0.22um filter,1,201,41,17%,17,13,13%,96,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,2UJ-R1 Acute Tank Water 0.22um filter,2,198,53,21%,21,13,13%,92,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,2UJ-R1 Acute Tank Water 0.22um filter,3,210,67,24%,24,13,13%,89,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,2UJ-R1 Acute Tank Water 100 kDa filter,1,176,154,47%,47,13,13%,66,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,2UJ-R1 Acute Tank Water 100 kDa filter,2,138,233,63%,63,13,13%,50,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,2UJ-R1 Acute Tank Water 100 kDa filter,3,32,319,91%,91,13,13%,22,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,XZV-R4 Acute Tank Water Unfiltered,1,88,9,9%,9,13,13%,104,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,XZV-R4 Acute Tank Water Unfiltered,2,123,15,11%,11,13,13%,102,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,XZV-R4 Acute Tank Water Unfiltered,3,145,19,12%,12,13,13%,101,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,XZV-R4 Acute Tank Water 100 kDa filter,1,138,19,12%,12,13,13%,101,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,XZV-R4 Acute Tank Water 100 kDa filter,2,126,23,15%,15,13,13%,98,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,Tank Water 100 kDa filter,XZV-R4 Acute Tank Water 100 kDa filter,3,108,9,8%,8,13,13%,105,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,XZV-R4 Acute Tank Water 0.22um filter,1,52,75,59%,59,13,13%,54,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,XZV-R4 Acute Tank Water 0.22um filter,2,108,77,42%,42,13,13%,71,,2025-12-12,ciliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
